age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,satisfaction_group,selection_criteria_list,cca_list
18 - 24,Female,Domestic,SUSS,4,auditory,Small,Design,1.0,Business Analyst,5,5,8,1,2,2,3,1,9,1,Self-funded,7.0,Commute,Introverted,0,16,Community Service,2,3,Medium,0,2.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,5,visual,Medium,Medicine,0.0,Consultant,5,1,7,1,3,1,1,3,9,0,Loan,7.0,On campus,Introverted,1,16,Arts,2,2,Low,0,1.6666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Business,0.0,Consultant,2,4,2,8,7,9,4,10,3,0,Self-funded,2.5,Commute,Ambivert,0,10,Arts,2,2,Low,1,7.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Business,0.0,Business Analyst,7,8,1,9,4,8,3,1,5,1,Family,6.0,Commute,Introverted,1,12,Arts,2,5,High,1,4.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
Over 30,Female,Domestic,SUSS,4,reading/writing,Large,Arts & Social Sciences,1.0,Consultant,5,4,1,7,1,3,7,5,2,0,Self-funded,3.5,Commute,Introverted,1,9,Academic,2,1,Low,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Large,Computing,1.0,Other,1,3,1,2,8,5,7,5,10,1,Self-funded,5.5,Commute,Ambivert,1,6,Sports,2,5,High,1,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,hands-on,Small,Engineering,0.5,Entrepreneur,7,7,8,1,10,4,6,4,7,0,Self-funded,7.0,Commute,Ambivert,1,11,Community Service,2,2,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Small,Computing,1.0,Software Engineer,6,2,1,5,2,10,7,10,8,0,Loan,7.0,On campus,Extroverted,1,9,Sports,2,5,High,0,9.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,visual,Large,Engineering,1.0,Researcher,4,1,6,6,6,9,5,2,7,1,Self-funded,5.5,Commute,Extroverted,0,3,Leadership,2,3,Medium,1,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,reading/writing,Medium,Engineering,1.0,Data Scientist,10,1,9,5,10,4,10,1,2,1,Family,6.0,On campus,Introverted,1,19,Academic,2,1,Low,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Small,Arts & Social Sciences,0.0,Consultant,3,2,1,4,7,3,10,1,10,1,Scholarship,6.5,Commute,Introverted,0,9,Academic,2,2,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Medium,Engineering,0.0,Business Analyst,10,4,3,3,9,1,3,1,7,1,Family,8.5,On campus,Ambivert,0,14,Sports,2,3,Medium,1,1.6666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,hands-on,Medium,Computing,0.5,Business Analyst,3,3,8,7,1,2,10,4,5,1,Scholarship,4.0,On campus,Introverted,1,19,Leadership,2,2,Low,0,5.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,hands-on,Medium,Arts & Social Sciences,0.0,Software Engineer,2,8,4,2,9,9,6,8,5,1,Loan,3.5,Commute,Ambivert,1,15,Leadership,2,5,High,1,7.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Computing,0.5,Data Scientist,7,9,5,7,10,10,7,4,8,0,Scholarship,7.5,Commute,Ambivert,0,5,Arts,2,4,Medium,0,7.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,4,visual,Large,Engineering,1.0,Data Scientist,8,9,2,10,2,8,10,1,4,0,Loan,6.0,Commute,Introverted,0,5,Sports,2,4,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,hands-on,Large,Engineering,1.0,Researcher,7,4,4,4,8,5,7,3,3,1,Family,5.0,Commute,Ambivert,1,3,Academic,2,2,Low,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Medium,Medicine,0.0,Other,8,4,7,1,10,7,1,10,7,0,Family,7.5,Commute,Introverted,0,1,Arts,2,4,Medium,1,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,5,reading/writing,Medium,Engineering,0.0,Product Manager,3,7,8,7,1,7,5,7,8,1,Scholarship,5.5,Commute,Extroverted,0,20,Sports,2,3,Medium,1,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Medium,Computing,1.0,Product Manager,9,3,9,9,6,5,9,6,6,0,Family,7.5,Commute,Introverted,1,2,Sports,2,2,Low,0,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Male,Domestic,SUSS,5,hands-on,Large,Design,1.0,Consultant,5,7,2,3,4,1,3,3,4,1,Family,4.5,Commute,Extroverted,0,0,Community Service,2,4,Medium,1,2.3333333333333335,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,International,SUSS,4,auditory,Medium,Law,0.0,Data Scientist,8,4,10,3,4,8,8,3,4,0,Self-funded,6.0,On campus,Ambivert,1,13,Academic,2,2,Low,0,6.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,4,hands-on,Medium,Engineering,1.0,Business Analyst,9,8,10,4,7,10,7,3,1,1,Self-funded,5.0,Commute,Introverted,1,18,Sports,2,1,Low,0,6.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,5,visual,Medium,Computing,0.5,Product Manager,9,2,1,5,1,7,9,9,6,1,Family,7.5,On campus,Extroverted,1,7,Academic,2,2,Low,0,8.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Small,Computing,0.5,Data Scientist,7,4,8,8,5,2,3,1,8,0,Self-funded,7.5,Commute,Ambivert,1,20,Leadership,2,4,Medium,1,2.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,visual,Large,Engineering,0.5,Entrepreneur,2,5,10,10,10,5,6,6,4,1,Family,3.0,Commute,Introverted,1,0,Sports,2,1,Low,1,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,visual,Large,Business,0.5,Business Analyst,1,4,3,1,5,4,8,3,10,0,Family,5.5,On campus,Ambivert,0,11,Leadership,2,3,Medium,1,5.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,reading/writing,Medium,Medicine,0.5,Data Scientist,2,4,7,5,1,8,6,3,7,0,Family,4.5,On campus,Introverted,1,14,Community Service,2,2,Low,0,5.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,visual,Large,Engineering,0.0,Data Scientist,9,2,6,8,3,5,2,6,10,0,Loan,9.5,Commute,Introverted,0,2,Community Service,2,1,Low,0,4.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Small,Design,0.5,Researcher,3,3,2,9,3,7,10,5,10,1,Self-funded,6.5,On campus,Ambivert,0,18,Sports,2,1,Low,0,7.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,auditory,Small,Business,0.0,Software Engineer,4,10,4,1,2,2,3,10,5,0,Scholarship,4.5,Commute,Ambivert,1,11,Sports,2,2,Low,0,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,hands-on,Large,Engineering,0.0,Product Manager,6,7,6,5,1,8,8,3,4,0,Family,5.0,On campus,Introverted,1,5,Arts,2,1,Low,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,3,hands-on,Large,Engineering,0.0,Data Scientist,2,4,6,7,4,8,9,7,9,0,Loan,5.5,On campus,Extroverted,0,15,Arts,2,3,Medium,1,8.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
25 - 30,Female,Domestic,SUSS,5,hands-on,Medium,Computing,0.5,Software Engineer,7,2,2,9,9,9,2,5,8,0,Scholarship,7.5,On campus,Introverted,1,12,Arts,2,4,Medium,0,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,hands-on,Small,Engineering,1.0,Product Manager,9,8,9,2,1,9,10,6,1,0,Self-funded,5.0,Commute,Introverted,0,5,Academic,2,1,Low,0,8.333333333333334,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,3,hands-on,Medium,Computing,1.0,Entrepreneur,7,4,6,4,3,3,6,10,3,0,Loan,5.0,Commute,Introverted,0,2,Academic,2,4,Medium,0,6.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,auditory,Large,Arts & Social Sciences,0.0,Other,5,6,5,4,9,6,5,7,10,1,Family,7.5,Commute,Extroverted,0,3,Leadership,2,2,Low,1,6.0,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,hands-on,Small,Science,0.0,Business Analyst,6,5,6,9,8,6,4,4,9,1,Self-funded,7.5,Commute,Ambivert,0,2,Arts,2,1,Low,1,4.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,International,SUSS,3,reading/writing,Large,Engineering,0.5,Researcher,4,2,3,8,8,7,5,8,2,0,Loan,3.0,Commute,Extroverted,0,3,Leadership,2,4,Medium,0,6.666666666666667,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,4,auditory,Large,Science,0.0,Software Engineer,9,3,7,1,2,2,3,7,7,1,Self-funded,8.0,Commute,Extroverted,0,3,Academic,2,5,High,0,4.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,5,reading/writing,Small,Computing,0.5,Software Engineer,1,9,1,1,6,4,4,10,1,0,Loan,1.0,Commute,Introverted,0,6,Academic,2,2,Low,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,visual,Large,Computing,1.0,Product Manager,3,5,8,10,9,7,2,6,7,1,Scholarship,5.0,Commute,Ambivert,0,12,Academic,2,1,Low,1,5.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,visual,Medium,Science,0.5,Data Scientist,4,6,10,8,9,3,7,3,9,1,Loan,6.5,Commute,Ambivert,0,13,Community Service,2,3,Medium,1,4.333333333333333,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,Domestic,SUSS,4,auditory,Large,Business,0.0,Other,9,10,4,2,5,7,8,3,9,1,Self-funded,9.0,On campus,Ambivert,0,14,Academic,2,3,Medium,0,6.0,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,5,visual,Small,Engineering,0.0,Researcher,7,5,2,10,7,10,1,6,9,0,Self-funded,8.0,Commute,Extroverted,0,0,Sports,2,4,Medium,0,5.666666666666667,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Female,Domestic,SUSS,3,auditory,Small,Design,0.0,Consultant,6,7,8,3,6,7,1,3,5,0,Scholarship,5.5,On campus,Introverted,1,13,Sports,2,1,Low,1,3.6666666666666665,Neutral,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
18 - 24,Male,International,SUSS,4,visual,Large,Business,0.5,Software Engineer,8,1,4,3,1,3,10,3,1,1,Self-funded,4.5,On campus,Extroverted,0,15,Leadership,2,3,Medium,1,5.333333333333333,Satisfied,"['Academic Excellence', 'Job Prospects', 'Campus Life']","['Sports Club', 'Academic Society']"
